solution_id,designation,source_id,ra,dec,clon,clat,ra_pmra_corr,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
1635721458409799680,Gaia DR2 2672829792651162752,2672829792651162752,323.2250616746798,-3.0011637197559993,21h32m54.01s,-03d00m04.19s,-0.5129879117,100,8054.994638302137,7.345335377335764,1096.6136474609,15.9232025146,10,3889.099965067598,24.191163788953748,160.7653045654,16.3767662048,9,5934.220669886526,21.413709412952436,277.1224975586,15.3285102844,1.2195316553,0,1.0482559204,0.4535636902,0.5946922302,0.0769999996,0.0322999991,0.1172999963
1635721458409799680,Gaia DR2 2672823637967258880,2672823637967258880,323.11535425996783,-3.0443470416916076,21h32m27.69s,-03d02m39.65s,-0.4587488472,90,108.80198060831884,1.4879976507782242,73.1197280884,20.5967731476,7,54.32682830949913,12.08428858646375,4.4956579208,21.0138530731,10,112.89419375703673,6.943686935461002,16.2585372925,19.630241394,1.536929965,0,1.3836116791,0.4170799255,0.9665317535,,,
1635721458409799680,Gaia DR2 2672832781947914240,2672832781947914240,323.1978010049762,-2.921658371526874,21h32m47.47s,-02d55m17.97s,,98,97.40093360290909,1.1662283057503218,83.5178985596,20.7169570923,0,,,,,0,,,,,,2,,,,,,
1635721458409799680,Gaia DR2 2672832846372921728,2672832846372921728,323.1770268380249,-2.9105573429171305,21h32m42.49s,-02d54m38.01s,-0.3421530724,114,331.4013690194324,1.4876976364445635,222.7612457275,19.3874797821,11,123.99485988787237,11.366402163539233,10.9088926315,20.1178798676,12,324.94478498421097,10.419018575284984,31.1876583099,18.4823951721,1.3546704054,0,1.6354846954,0.7304000854,0.90508461,,,
1635721458409799680,Gaia DR2 2672824673050168704,2672824673050168704,323.08678109625384,-3.014824470255724,21h32m20.83s,-03d00m53.37s,,87,542.4636037863995,2.0887521780897087,259.70703125,18.8524398804,6,233.6312751103847,13.642867125210222,17.124792099,19.4300613403,9,456.9904637172945,21.156888083342064,21.6000785828,18.1121520996,1.2731208801,0,1.3179092407,0.57762146,0.7402877808,,,
1635721458409799680,Gaia DR2 2672829964449856256,2672829964449856256,323.22948847257004,-2.9826776297732174,21h32m55.08s,-02d58m57.64s,-0.5489120483,101,35986.96095264265,11.601928572307967,3101.80859375,14.2980031967,12,18903.116993270978,72.52316558116736,260.6493530273,14.6600542068,12,24918.028198859673,50.31897462549009,495.2014160156,13.7706356049,1.217695117,0,0.889418602,0.3620510101,0.5273675919,0.075000003,0.0439000018,0.1054999977
1635721458409799680,Gaia DR2 2672843158589324032,2672843158589324032,323.1349190734738,-2.908644832917027,21h32m32.38s,-02d54m31.12s,-0.3571970463,102,249.25338537002247,1.688435865297214,147.623840332,19.6967639923,9,168.3860331509565,21.480232288572317,7.8391160965,19.7856235504,9,174.78769661401788,10.163885929143955,17.1969356537,19.1556434631,1.376806736,0,0.6299800873,0.0888595581,0.5411205292,,,
1635721458409799680,Gaia DR2 2672843257377872768,2672843257377872768,323.12212895836007,-2.9132864403571603,21h32m29.31s,-02d54m47.83s,,87,126.5123533352312,1.4070624368610085,89.9123916626,20.4330329895,5,29.604931424907512,5.822323280041796,5.084728241,21.6729774475,7,149.87569194846174,7.77170139542262,19.2847976685,19.3225917816,1.4186806679,0,2.3503856659,1.239944458,1.1104412079,,,
1635721458409799680,Gaia DR2 2672832502775505920,2672832502775505920,323.21398857335726,-2.9354806933114914,21h32m51.36s,-02d56m07.73s,-0.3822700679,107,586.9720053508282,2.704818096646823,217.0097961426,18.7668228149,9,233.35158237635477,30.701170512199646,7.6007390022,19.4313621521,10,639.0781436673142,14.343814545959424,44.5542678833,17.7480354309,1.4863225222,0,1.6833267212,0.6645393372,1.018787384,,,
1635721458409799680,Gaia DR2 2672824398172261632,2672824398172261632,323.10012028640256,-3.0341131211166754,21h32m24.03s,-03d02m02.81s,,87,929.1217193284461,2.9917691826391644,310.5592956543,18.2681846619,7,406.386873444036,28.38089230886637,14.3190307617,18.82903862,9,823.5127532121617,19.051705264781308,43.2251472473,17.472743988,1.3237228394,0,1.356294632,0.5608539581,0.7954406738,,,
