designation,ra,dec,clon,clat,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
Gaia DR2 2674073237222828416,324.96334344530055,-2.8908784077133087,21h39m51.20s,-02d53m27.16s,112,14214.796856229368,7.572442894186186,1877.1745605469,15.3065137863,11,7056.90165789907,18.220398304094957,387.3077697754,15.7298526764,11,10264.804125409395,24.132170759063946,425.3576660156,14.733543396,1.2185686827,1,0.9963092804,0.4233388901,0.5729703903,0.0936999992,0.0188999996,0.1579000056
Gaia DR2 2674072854971155328,324.97580430568973,-2.929051865892603,21h39m54.19s,-02d55m44.59s,98,120.07035341489372,1.1617591338798963,103.3521957397,20.4897766113,7,41.133645573058466,9.115009089425271,4.512737751,21.3158950806,11,129.5701407384998,9.478427055157473,13.6700048447,19.4806575775,1.4216980934,0,1.8352375031,0.8261184692,1.0091190338,,,
Gaia DR2 2674073164208401152,324.97022561558464,-2.899599129951803,21h39m52.85s,-02d53m58.56s,128,325.14715960827425,1.6100484284605683,201.9486846924,19.408164978,11,119.49005573672882,5.724272654854723,20.8742771149,20.1580581665,14,245.1342203302572,15.965140846233359,15.354341507000001,18.7884101868,1.1214131117,0,1.3696479797,0.7498931885,0.6197547913,,,
Gaia DR2 2674070793386347008,324.9064867518657,-2.979497397350285,21h39m37.56s,-02d58m46.19s,112,4111.043594644632,3.952349645873398,1040.1518554688,16.6534862518,10,1865.0217570019936,7.172177343167723,260.0356445312,17.1746788025,11,3206.859175218258,24.45266555518783,131.1455841064,15.996720314,1.2337210178,0,1.1779584885,0.5211925507,0.6567659378,0.0670000017,0.0308999997,0.0882999972
Gaia DR2 2674120374488954112,324.9058346764454,-2.870631061810658,21h39m37.40s,-02d52m14.27s,96,284.5814801865766,1.3517060230617226,210.5350341797,19.5528488159,8,62.33679465329198,11.112486678163563,5.6096172333,20.8645267487,8,286.4093205379,7.970796765895518,35.9323310852,18.6194515228,1.2254701853,0,2.2450752258,1.3116779327,0.9333972931,,,
Gaia DR2 2674120374488953088,324.90151397305755,-2.8715986363436103,21h39m36.36s,-02d52m17.76s,116,258.86270310421884,1.6304161030450302,158.7709503174,19.6556911469,12,143.04755632037308,17.066718873550183,8.3816671371,19.9626865387,9,165.37542732650195,13.17732156472246,12.5500030518,19.2157421112,1.1914539337,0,0.7469444275,0.3069953918,0.4399490356,,,
Gaia DR2 2674118278546627584,324.8637705122093,-2.930482206984233,21h39m27.30s,-02d55m49.74s,68,84.66709865034252,1.1977878547858247,70.6862258911,20.8690795898,4,38.16362698891398,13.275825703317464,2.8746707439,21.3972644806,8,81.00248105674753,14.375049363448198,5.6349358559,19.9906749725,1.4074665308,0,1.4065895081,0.5281848907,0.8784046173,,,
Gaia DR2 2674120374489347712,324.9041855392795,-2.870207310198031,21h39m37.00s,-02d52m12.75s,104,123.363585862386,1.1005066191671715,112.0970840454,20.4603977203,7,48.711233130899096,10.202493800530952,4.7744436264,21.132314682,9,116.36393166887335,12.732187166433947,9.1393508911,19.5973739624,1.33811903,0,1.5349407196,0.6719169617,0.8630237579,,,
Gaia DR2 2674070488443755904,324.95824539750237,-2.968582634774453,21h39m49.98s,-02d58m06.90s,122,4408.920471785289,4.380846746734993,1006.4082641602,16.5775356293,12,2389.945652319224,17.340609457596898,137.8236236572,16.905418396,13,2910.9776948669733,26.83409905982847,108.4805450439,16.1018218994,1.2023177147,0,0.8035964966,0.3278827667,0.4757137299,0.0820000023,0.0104,0.224999994
Gaia DR2 2674073164208390912,324.9763483277552,-2.9084613038865497,21h39m54.32s,-02d54m30.46s,103,101.2927702461971,1.2215535708526477,82.9212646484,20.6744194031,7,57.174593470991056,4.64963391933423,12.296579361,20.9583797455,8,59.73441432197618,7.701476098678352,7.7562294006,20.3213577271,1.1541693211,0,0.6370220184,0.2839603424,0.353061676,,,
Gaia DR2 2674118072386393600,324.8650086036715,-2.9408230015761574,21h39m27.60s,-02d56m26.96s,81,101.76976867369766,1.1515273285586036,88.378074646,20.6693191528,3,19.828645366465302,0.3724661714166806,53.2360992432,22.1081562042,7,111.95449447860325,12.939758663471538,8.6519765854,19.6393165588,1.2949143648,0,2.4688396454,1.4388370514,1.030002594,,,
Gaia DR2 2674118897020198144,324.8879544565201,-2.8753003596309012,21h39m33.11s,-02d52m31.08s,106,228.21475021264877,1.2570883046988603,181.5423431396,19.7925071716,8,91.81845742965426,21.606861957848714,4.2495045662,20.4440631866,10,182.3763494647484,9.55891256557175,19.0791950226,19.1094989777,1.20147717,0,1.334564209,0.651556015,0.683008194,,,
Gaia DR2 2674118725221460480,324.86231909327023,-2.9133109101164654,21h39m26.96s,-02d54m47.92s,105,645.6280304392161,2.4875105064324248,259.5478515625,18.6634101868,10,198.07295793408747,12.678278543848082,15.6230163574,19.6093254089,9,617.2869106092967,10.008907146545399,61.6737556458,17.7857017517,1.2628941536,0,1.8236236572,0.9459152222,0.8777084351,,,
Gaia DR2 2674070965185042304,324.88942312010425,-2.9757992936403066,21h39m33.46s,-02d58m32.88s,89,256.9268095734834,1.6602370332295449,154.7530822754,19.6638412476,9,90.33875969336668,13.533421267836095,6.6752343178,20.4617023468,8,226.85199278538138,9.875588800753977,22.9709835052,18.8725643158,1.2345567942,0,1.589138031,0.7978610992,0.7912769318,,,
Gaia DR2 2674118072386392960,324.86307623059184,-2.941272048248927,21h39m27.14s,-02d56m28.58s,96,173.49960886288957,1.1916850014212652,145.5918426514,20.0901203156,5,62.78014048262881,12.775491779681634,4.9141073227,20.8568325043,10,180.30101304744292,19.482615943225966,9.2544565201,19.121925354,1.4010472298,0,1.7349071503,0.7667121887,0.9681949615,,,
Gaia DR2 2674120447502813184,324.9308450351273,-2.864868618322237,21h39m43.40s,-02d51m53.53s,61,70.15180284866355,1.226933623336957,57.176525116,21.0732688904,0,,,,,0,,,,,,0,,,,,,
Gaia DR2 2674118656501975936,324.85931234168396,-2.9188715916845944,21h39m26.23s,-02d55m07.94s,107,847.2260723576895,2.260718967218667,374.7595825195,18.3683681488,9,507.9421449543028,14.478586772177477,35.0823020935,18.5868530273,7,522.5875273976712,7.261204777675684,71.9698104858,17.9665222168,1.2163573503,0,0.6203308105,0.2184848785,0.401845932,,,
Gaia DR2 2674120271410131584,324.9519482990161,-2.8714258491991367,21h39m48.47s,-02d52m17.13s,88,100.66385276046857,1.1949567013513298,84.2405853271,20.681180954,7,23.65557718353795,5.236773160654053,4.5172047615,21.9165534973,9,115.3235680494134,27.516010197478064,4.1911444664,19.6071243286,1.3806260824,0,2.3094291687,1.2353725433,1.0740566254,,,
Gaia DR2 2674120374488960640,324.89704508995146,-2.867336755958512,21h39m35.29s,-02d52m02.41s,114,341.0988878796305,1.4398149300113505,236.9046783447,19.3561649323,10,187.10388967060786,11.033664521480238,16.9575481415,19.6711807251,9,191.61280658008965,9.369346202673176,20.4510326385,19.0558586121,1.1102842093,0,0.615322113,0.3150157928,0.3003063202,,,
Gaia DR2 2674120271409740672,324.95075580595403,-2.8700552633767886,21h39m48.18s,-02d52m12.20s,123,1483.8675306117393,2.3563831829022908,629.7225341797,17.7598781586,12,849.2214684054672,10.805445485072603,78.5919876099,18.0288352966,13,938.6582230415494,21.25890437370763,44.1536483765,17.3306503296,1.204878211,0,0.698184967,0.2689571381,0.429227829,,,
Gaia DR2 2674070724666860288,324.91412191078723,-2.9874555717638245,21h39m39.39s,-02d59m14.84s,103,230.20108597647504,2.401191164715514,95.8695373535,19.7830982208,7,175.7829818431999,15.165400812100557,11.5910539627,19.7389469147,9,168.90217877673834,27.114725324701116,6.2291679382,19.1928310394,1.4973220825,0,0.5461158752,-0.0441513062,0.5902671814,,,
Gaia DR2 2674118038026649600,324.860959251758,-2.9444510865404654,21h39m26.63s,-02d56m40.02s,85,887.4811253538422,2.7300402942834316,325.079864502,18.3179683685,9,490.69109460697996,7.10571261955442,69.0558624268,18.6243686676,7,608.8142284162868,4.12955374595092,147.4285736084,17.8007087708,1.238905549,0,0.8236598969,0.3064002991,0.5172595978,,,
Gaia DR2 2674120443211715968,324.9396084932655,-2.8649848098871553,21h39m45.51s,-02d51m53.95s,97,295.148623369399,3.1014124413139457,95.1658706665,19.5132637024,7,311.1925741996677,13.928558755753862,22.3420505524,19.1188144684,7,730.1086591391094,21.67236340301104,33.6884651184,17.6034507751,3.5280573368,0,1.5153636932,-0.394449234,1.9098129272,,,
Gaia DR2 2674072958049959296,324.98205697195846,-2.9101626616407357,21h39m55.69s,-02d54m36.59s,109,459.0593371963295,1.4650537135301829,313.3395996094,19.0336933136,11,197.1292484473356,9.018963087491715,21.8571968079,19.6145095825,10,347.28828371807566,3.8848448219621208,89.3956680298,18.410194397,1.185941577,0,1.2043151855,0.5808162689,0.6234989166,,,
Gaia DR2 2674118660797022720,324.85765055628275,-2.9186433395947344,21h39m25.84s,-02d55m07.12s,112,6601.660444913662,5.2754742215124475,1251.3870849609,16.1392326355,11,3190.377490722769,15.350825897713596,207.8309936523,16.5917835236,10,4842.317790697098,14.895744015739323,325.0806274414,15.5492868423,1.2167689799999999,0,1.0424966812,0.4525508881,0.5899457932,,,
Gaia DR2 2674120447503348480,324.9349758608707,-2.863065593731284,21h39m44.39s,-02d51m47.04s,114,5723.8937103408425,4.371219002744309,1309.4501953125,16.2941360474,11,3048.927694512416,19.368888904369975,157.4136657715,16.6410198212,12,3880.1679840442366,22.174384204621568,174.9842529297,15.7897939682,1.2105562687,0,0.851225853,0.3468837738,0.5043420792,0.0285,0.0,0.061999999
Gaia DR2 2674120374489350912,324.898401057981,-2.8655209487067106,21h39m35.62s,-02d51m55.88s,100,7496.26730346,7.228632387172592,1037.0242919922,16.0012531281,10,3778.2614625692577,18.22307731657758,207.3338928223,16.4081573486,10,5301.936428794678,23.03343282123537,230.1843719482,15.4508333206,1.2112959623,0,0.957324028,0.4069042206,0.5504198074,0.2325000018,0.1632999927,0.2840999961
Gaia DR2 2674073164208404608,324.9780429602317,-2.8962372740243243,21h39m54.73s,-02d53m46.45s,104,1661.9288918932164,2.747418831594267,604.9055175781,17.6368350983,10,942.5896731594424,6.69853218868182,140.7158508301,17.9155807495,11,1011.6398947490577,11.307154544882609,89.4690093994,17.2493553162,1.1758804321,0,0.6662254333,0.2787456512,0.3874797821,,,
