Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
PMO20200815S-0136.fit	104	0	59077.899016203824	2459077.899016204	NaN	NaN	0	1.58001319131	NaN	-19.997356500000002	60	NaN	NaN	5.787446135605061	10	14	18	1341.1880726415607	1707.7997385633862	1341.6880726415607	1348.7002614366138	21.660638574551033	-2.9197105822481255	102703.16644949309	314.1592653589794	604.7858520257802	169.81740909692306	11000	326.91433223253046	1064.6406685236768	359	5.787446135605061	5.887917457111625	5.473270186953891	6.30256472726936	58.23551948147403	0.9011393714564965
PMO20200815S-0137.fit	105	0	59077.89990740735	2459077.8999074074	NaN	NaN	0	1.58392018587	NaN	-20.038218750000002	60	NaN	NaN	3.739834075841641	10	14	18	1341.1880726415607	1708.3521798569586	1341.6880726415607	1348.1478201430414	21.66064414020729	-2.9199371259561175	102531.45446965582	314.1592653589794	608.9996039276523	168.3604616626915	9816	326.3677560249465	1064.7982708933719	347	3.739834075841641	5.199511089286089	5.1494653310546905	5.249556847517488	301.01896612868563	0.9983147946175729
PMO20200815S-0138.fit	106	0	59077.90079861088	2459077.900798611	NaN	NaN	0	1.58789902676	NaN	-20.06336475	60	NaN	NaN	5.798814203666914	10	14	18	1339.530748760843	1707.2472972698135	1340.030748760843	1349.2527027301865	21.660616844610672	-2.9196856722169438	102762.49793153291	314.15926535897944	603.1024858094647	170.38977677833378	10156	327.1031902054825	1064.5851648351647	364	5.798814203666914	5.777495504574297	5.199410567148907	6.355580441999688	64.86136478987626	0.9038807437134522
PMO20200815S-0139.fit	107	0	59077.90167824086	2459077.901678241	NaN	NaN	0	1.59189743976	NaN	-20.0602215	60	NaN	NaN	4.973813476646312	10	14	18	1339.530748760843	1707.2472972698135	1340.030748760843	1349.2527027301865	21.660624365374897	-2.919789289967804	102470.89973812929	314.15926535897944	607.4941152442276	168.6780121268063	9315	326.1750043279455	1064.6210826210827	351	4.973813476646312	5.876811093947325	5.702503641195559	6.051118546699089	304.5195020590555	0.9725508898293845
PMO20200815S-0140.fit	108	0	59077.902569444384	2459077.9025694444	NaN	NaN	0	1.59602146136	NaN	-20.041362000000003	60	NaN	NaN	4.41254816929005	10	14	18	1338.1496455269116	1707.2472972698135	1338.6496455269116	1349.2527027301865	21.660603988622128	-2.9198803684104084	103728.10711856169	314.1592653589795	607.4815594992368	170.75103844150846	10057	330.176819709694	1064.0511363636363	352	4.41254816929005	5.319284577457185	5.176411258358231	5.462157896556139	291.7292277223073	0.9945310020119065
PMO20200815S-0141.fit	109	0	59077.90346064791	2459077.903460648	NaN	NaN	0	1.60021980562	NaN	-19.98164025	60	NaN	NaN	3.686977165898307	10	14	18	1336.2161009994077	1708.0759592101724	1336.7161009994077	1348.4240407898276	21.660576317114582	-2.920195892617897	103286.34140887775	314.1592653589793	601.6662466589954	171.66716926937244	8998	328.7706357820002	1064.6666666666667	369	3.686977165898307	5.290535778631933	5.5156228975263755	5.065448659737491	347.45513546607043	0.9912042002561473
PMO20200815S-0142.fit	110	0	59077.90459490754	2459077.9045949075	NaN	NaN	0	1.60567201339	NaN	-19.86534	60	NaN	NaN	3.894385192319849	10	14	18	1334.8349977654764	1708.3521798569586	1335.3349977654764	1348.1478201430414	21.66055418603728	-2.920344339319608	103737.28775054967	314.1592653589793	604.4597225515662	171.61985138174344	11233	330.2060425689261	1064.4930747922438	361	3.894385192319849	5.5103060683421035	5.718800154797787	5.301811981886419	326.4347786330261	0.962193121189998
PMO20200815S-0143.fit	111	0	59077.90547453705	2459077.905474537	NaN	NaN	0	1.6099852864	NaN	-19.77418575	60	NaN	NaN	5.3491325963111285	10	14	18	1333.453894531545	1708.3521798569586	1333.953894531545	1348.1478201430414	21.6605339236106	-2.9203864270658886	103602.85371763154	314.1592653589793	608.939887704228	170.13642201732912	11585	329.7781257517521	1064.367816091954	348	5.3491325963111285	5.788038130767955	6.0890236292766575	5.487052632259251	324.52637139667064	0.8990421076026838
PMO20200815S-0144.fit	112	0	59077.90636574058	2459077.9063657406	NaN	NaN	0	1.61443204993	NaN	-19.69246125	60	NaN	NaN	3.9573500109099693	10	14	18	1333.453894531545	1708.3521798569586	1333.953894531545	1348.1478201430414	21.660535516308407	-2.9204652542178993	103950.43186538812	314.1592653589793	600.8325777267894	173.01064509297706	10760	330.88450135827577	1064.1505376344087	372	3.9573500109099693	5.530999736006509	5.194868987773775	5.867130484239241	296.412733924919	0.9598356206885105
PMO20200815S-0145.fit	113	0	59077.90724537056	2459077.9072453706	NaN	NaN	0	1.61889772016	NaN	-19.626453	60	NaN	NaN	4.439451670592136	10	14	18	1333.453894531545	1708.3521798569586	1333.953894531545	1348.1478201430414	21.660543503451798	-2.9205271268731003	103637.6478765643	314.1592653589793	606.96212966069	170.7481287745264	9965	329.88887899944956	1065.045197740113	354	4.439451670592136	5.830774920578723	5.312082861852105	6.349466979305341	65.47613839205171	0.9274683984941917
