Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RA_OBJ	DEC_OBJ	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
aligned_665Sabine_114_out.fits	114	0	59525.95787827531	2459525.9578782753	2459525.957704664	2459525.9619266833	2459525.9626788856	-1	-58.57652279868984	-14.80951678	30	0.0186300081410441	0.1214266421658833	4.440832673714742	10	16	20	474.92626703718406	506.12962285355843	475.42626703718406	518.3703771464416	1.9867712366878674	33.35497458720086	19758.775744616243	314.15926535897916	210.99874148508073	93.64404548362363	833	62.89413658399844	24.770408163265305	392	4.440832673714742	6.438474329100412	6.494656424823938	6.382292233376886	322.88177047023703	0.9958738298848828
aligned_665Sabine_115_out.fits	115	0	59525.95831468748	2459525.9583146875	2459525.9581410764	2459525.962363064	2459525.9631152665	-1	-58.41898556337401	-14.80951678	30	0.0186300080637715	0.1214266416571445	4.1682597168045845	10	16	20	474.8847842639594	506.05073681402945	475.3847842639594	518.4492631859705	1.986763155304664	33.354884814165736	19846.768755541998	314.15926535897927	210.37709746396357	94.33901786263421	1001	63.17422703692587	24.674185463659146	399	4.1682597168045845	6.421896849512125	6.259916561118715	6.583877137905535	279.24282349469917	0.997174343869546
aligned_665Sabine_116_out.fits	116	0	59525.95875361096	2459525.958753611	2459525.95858	2459525.962801956	2459525.9635541583	-1	-58.26054177652634	-14.80951678	30	0.0186300079861061	0.1214266411458213	4.146689356168244	10	16	20	474.91940272441497	505.3297776980997	475.41940272441497	519.1702223019004	1.986756445046286	33.354781637125406	19641.872924246672	314.15926535897944	210.42951231045984	93.34181649990134	1036	62.52202334953436	24.972361809045225	398	4.146689356168244	6.100857652787941	6.0556236792367315	6.1460916263391505	308.77548679064927	0.9952687115322546
aligned_665Sabine_117_out.fits	117	0	59525.9591891896	2459525.9591891896	2459525.9590155785	2459525.963237503	2459525.963989706	-1	-58.10330540952708	-14.80951678	30	0.0186300079090839	0.1214266406387343	4.336708819928857	10	16	20	475.9596658407979	505.297681919227	476.4596658407979	519.202318080773	1.9867481444251391	33.35481409855253	19747.60059261464	314.1592653589794	209.13953045894354	94.42308945267196	955	62.85856497038122	24.88135593220339	413	4.336708819928857	6.085657638949563	6.219483766956187	5.951831510942938	7.510188242582657	0.9979284180081907
aligned_665Sabine_118_out.fits	118	0	59525.95963054383	2459525.959630544	2459525.9594569327	2459525.9636788256	2459525.9644310283	-1	-57.94398414037886	-14.80951678	30	0.0186300078310925	0.1214266401252687	4.648426132878801	10	16	20	476.04775284630614	504.99139056380926	476.54775284630614	519.5086094361907	1.9867405457344383	33.354783857939815	20227.46410245333	314.1592653589793	208.20980499176596	97.14943109068885	814	64.3860179623863	24.148235294117647	425	4.648426132878801	6.710503712761796	6.8308264482886925	6.5901809772349	324.42818791046983	0.98769642494372
aligned_665Sabine_119_out.fits	119	0	59525.960064884275	2459525.9600648843	2459525.959891273	2459525.964113135	2459525.9648653376	-1	-57.787194717597174	-14.80951678	30	0.0186300077543917	0.1214266396203018	4.674092668920267	10	16	20	476.08973883316327	504.99118246890873	476.58973883316327	519.5088175310913	1.98673479065174	33.35475472257029	19856.8016196016	314.1592653589793	209.81675984230748	94.63877735279787	786	63.206162635094955	24.63456790123457	405	4.674092668920267	6.4470868754091315	6.411195831467848	6.482977919350415	312.2566866461025	0.986440598039707
aligned_665Sabine_120_out.fits	120	0	59525.96049916651	2459525.9604991665	2459525.9603255554	2459525.964547386	2459525.9652995886	-1	-57.63042629601779	-14.80951678	30	0.018630007677752	0.1214266391157385	4.324307736639596	10	16	20	477.05155540460646	504.164169962996	477.55155540460646	520.3358300370039	1.9867352232556712	33.354709990973625	20353.295609359808	314.1592653589792	210.08317355048007	96.88208372608763	894	64.78655208880369	22.833333333333332	396	4.324307736639596	6.450845460045912	6.358456853926188	6.5432340661656365	301.30854525954896	0.9961230286501677
aligned_665Sabine_121_out.fits	121	0	59525.96140435198	2459525.961404352	2459525.961230741	2459525.965452506	2459525.966204709	-1	-57.30366986726699	-14.80951678	30	0.0186300075181729	0.1214266380651434	4.131039802079579	10	16	20	478.0335694259997	504.4142199533772	478.5335694259997	520.0857800466229	1.9867215989070848	33.354564453165445	20241.067175268607	314.1592653589791	212.15196144329576	95.40834332883915	949	64.42931788798217	23.722955145118732	379	4.131039802079579	6.274350378169903	6.219575782263013	6.329124974076792	307.95356501520865	0.9948591258815834
aligned_665Sabine_122_out.fits	122	0	59525.96183749987	2459525.9618375	2459525.961663889	2459525.965885623	2459525.9666378256	-1	-57.14731089474685	-14.80951678	30	0.0186300074418892	0.1214266375629298	4.487365621967333	10	16	20	477.7341689438042	503.39957157630374	478.2341689438042	521.1004284236963	1.9867106358487923	33.35451218834334	20261.402754584098	314.1592653589793	208.87539803502176	97.00234180373366	892	64.49404804735607	23.513317191283292	413	4.487365621967333	6.307280864060585	6.359338752220317	6.255222975900854	337.4017726999764	0.99945133405517
aligned_665Sabine_123_out.fits	123	0	59525.96227212949	2459525.9622721295	2459525.9620985184	2459525.9663202213	2459525.967072424	-1	-56.99041703140051	-14.80951678	30	0.0186300073653953	0.1214266370593334	4.2162187051293625	10	16	20	478.1968364024951	503.87895934753743	478.6968364024951	520.6210406524626	1.986704060765324	33.35456454276352	19972.28264456152	314.1592653589795	209.02163608217728	95.55126932749381	989	63.57375015420872	23.990267639902676	411	4.2162187051293625	6.011180549159441	5.983510069680195	6.038851028638688	311.87484208611943	0.9928497671908362
aligned_665Sabine_124_out.fits	124	0	59525.96270765038	2459525.9627076504	2459525.9625340393	2459525.966755711	2459525.9675079132	-1	-56.833201422721174	-15.23319095	30	0.0186300072887952	0.1214266365550408	4.162474120384891	10	16	20	478.44256586551285	502.9061063648286	478.94256586551285	521.5938936351714	1.9867016696555977	33.35442087984072	20487.70720431047	314.15926535897927	209.35095319946828	97.86297550214597	942	65.21439748370895	24.03864734299517	414	4.162474120384891	6.424993478088998	6.472491145184373	6.377495810993624	35.19320298780161	0.9980601260343606
aligned_665Sabine_125_out.fits	125	0	59525.96314200247	2459525.9631420025	2459525.9629683914	2459525.967190032	2459525.967942234	-1	-56.676407724574005	-15.23319095	30	0.0186300072124515	0.1214266360524369	4.488385327544029	10	16	20	479.05184959829137	503.04686373467916	479.55184959829137	521.4531362653208	1.986694512939561	33.35441785305251	20691.81489187892	314.15926535897927	210.39193526730992	98.34889757342307	857	65.86409243170044	23.042713567839197	398	4.488385327544029	6.451658634446668	6.303763815574033	6.599553453319302	86.4475572743691	0.9978676321466992
aligned_665Sabine_126_out.fits	126	0	59525.963578078896	2459525.963578079	2459525.963404468	2459525.967626077	2459525.9683782794	-1	-56.51899155796008	-14.80951678	30	0.0186300071358555	0.1214266355481745	4.0704240554191085	10	16	20	480.0325514867057	502.5129242131176	480.5325514867057	521.9870757868823	1.9866903512892662	33.354403137438936	20477.75144712191	314.1592653589794	210.70122654291274	97.18857257317049	965	65.1827073243333	24.085213032581454	399	4.0704240554191085	6.31104806425489	6.2909243203475995	6.33117180816218	312.4170782524213	0.9949834443250032
aligned_665Sabine_127_out.fits	127	0	59525.96401304379	2459525.964013044	2459525.9638394327	2459525.9680610104	2459525.968813213	-1	-56.36197662640001	-15.23319095	30	0.0186300070595055	0.1214266350455333	4.28149201001043	10	16	20	479.83614088820826	502.2702368841738	480.33614088820826	522.2297631158262	1.986684809360707	33.354310520184384	20985.71381672396	314.1592653589793	211.604172550401	99.17438566446734	933	66.79960176487008	22.971649484536083	388	4.28149201001043	6.3323104010156275	6.262616456506108	6.402004345525146	71.40978923590833	0.9992368830680675
aligned_665Sabine_128_out.fits	128	0	59525.964448032435	2459525.9644480324	2459525.9642744213	2459525.968495968	2459525.9692481705	-1	-56.20495311248766	-14.80951678	30	0.018630006983202	0.1214266345432	4.402606999973203	10	16	20	480.7308635487826	502.7492650334076	481.2308635487826	521.7507349665924	1.9866793758225918	33.354305064831266	21033.578445350533	314.1592653589794	209.22704701728793	100.52992070194719	915	66.9519596097736	23.127403846153847	416	4.402606999973203	6.6166090848067824	6.538202046279637	6.695016123333929	295.72981221768686	0.9985535310829732
aligned_665Sabine_129_out.fits	129	0	59525.96488215262	2459525.9648821526	2459525.9647085415	2459525.968930057	2459525.9696822595	-1	-56.04824308796913	-15.23319095	30	0.0186300069071013	0.1214266340422037	4.549815252369804	10	16	20	480.3198910560534	502.5883628478497	480.8198910560534	521.9116371521503	1.9866694447846525	33.35428099442052	20655.094290370223	314.15926535897927	213.33197081147514	96.82137286690825	872	65.74720712683211	23.07608695652174	368	4.549815252369804	6.459311211058758	6.350679906842676	6.567942515274839	298.96831127985376	0.9959876683723422
aligned_665Sabine_130_out.fits	130	0	59525.96531739598	2459525.965317396	2459525.965143785	2459525.969365269	2459525.970117471	-1	-55.89112760711322	-15.23319095	30	0.0186300068308543	0.1214266335402462	4.344497637659941	10	16	20	481.03397976996104	502.1783901194656	481.53397976996104	522.3216098805344	1.9866666831187836	33.35416826477186	20724.82118439362	314.1592653589795	209.33686292044024	99.00225356998024	950	65.96915472383743	23.44309927360775	413	4.344497637659941	6.167203690829166	5.92949962056803	6.4049077610903025	288.06002980597486	0.9909201802464822
aligned_665Sabine_131_out.fits	131	0	59525.965754074045	2459525.965754074	2459525.965580463	2459525.969801916	2459525.970554118	-1	-55.73349421385291	-14.80951678	30	0.0186300067544068	0.1214266330369709	4.403515593616486	10	16	20	481.44959197551856	502.1925222712139	481.94959197551856	522.3074777287861	1.9866577501679246	33.35418057216312	20582.215363454925	314.1592653589793	210.10345688312918	97.96228804985277	911	65.51522629751605	23.36318407960199	402	4.403515593616486	6.322840899498127	5.929089822461067	6.716591976535186	280.82042321914116	0.9821841996121771
aligned_665Sabine_132_out.fits	132	0	59525.96619143523	2459525.966191435	2459525.966017824	2459525.9702392453	2459525.9709914476	-1	-55.57561421494597	-14.80951678	30	0.0186300066778908	0.1214266325332462	4.537157125493806	10	16	20	481.88030177457097	501.8074789817842	482.38030177457097	522.6925210182158	1.9866563557711558	33.35416344461758	21309.89010998074	314.15926535897927	210.45130534055062	101.25805623061946	880	67.83148695497057	23.081481481481482	405	4.537157125493806	6.584610430208905	6.554041674376421	6.615179186041388	52.89608815597199	0.9988360787295081
