solution_id,designation,ra,dec,clon,clat,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp
1635721458409799680,Gaia DR2 305019128434139264,29.74070741453103,33.32906266742029,01h58m57.77s,33d19m44.63s,695.2822265828896,2.3547754397841576,18.5829620361,154.0905874060709,14.720115736300501,19.8819484711,875.5175400811306,11.512525805738061,17.4062576294,1.4808491468,2.4756908417,1.2989864349,1.1767044067
1635721458409799680,Gaia DR2 305018200723099648,29.783255045909332,33.30932201890053,01h59m07.98s,33d18m33.56s,119.31220426182126,1.7107214397419397,20.4966526031,70.17708908393885,11.150587551877152,20.7358989716,119.20436304005278,11.179364231734972,19.5711898804,1.5872764587,1.1647090912,0.2392463684,0.9254627228
1635721458409799680,Gaia DR2 305018205016943232,29.78292011411637,33.30838359100182,01h59m07.90s,33d18m30.18s,1369.959712732299,2.6552411618975142,17.8465957642,713.644793766294,17.458038923858144,18.2176837921,979.7958252513995,13.019387507115397,17.2840805054,1.2361243963,0.9336032867,0.371088028,0.5625152588
1635721458409799680,Gaia DR2 305018200721189120,29.792903562979006,33.30842488572925,01h59m10.30s,33d18m30.33s,197.58860234364872,1.5824391773648694,19.9489612579,67.27054851120937,8.754411021607948,20.7818260193,219.20117110237322,12.088622139571093,18.9098129272,1.4498392344,1.872013092,0.8328647614,1.0391483307
1635721458409799680,Gaia DR2 305019128434136832,29.74155552920176,33.32554943068937,01h58m57.97s,33d19m31.98s,793.0059565733926,3.1778460785142544,18.4401741028,274.67679520464,25.30268249661764,19.2543334961,842.6613667724846,14.469405681407457,17.4477863312,1.40899086,1.8065471649,0.8141593933,0.9923877716
1635721458409799680,Gaia DR2 305021018220133120,29.83479345711732,33.39206181999707,01h59m20.35s,33d23m31.42s,396.69658930283526,2.253351235831179,19.1922187805,87.43875929187483,14.726277384732809,20.497127533,524.7200494024866,13.411058771238356,17.9621009827,1.5431411266,2.5350265503,1.3049087524,1.2301177979
1635721458409799680,Gaia DR2 305019819924637696,29.807234033433193,33.4074370729421,01h59m13.74s,33d24m26.77s,4965.694124446402,5.015527064787232,16.4484157562,1377.2309799260424,17.58647051156406,17.5038719177,5406.335681455536,33.16692294891717,15.4296627045,1.3660862446,2.0742092133,1.0554561615,1.0187530518
1635721458409799680,Gaia DR2 305030948184514688,29.725507483343684,33.350200847981235,01h58m54.12s,33d21m00.72s,103.60380458025548,1.4552622758854834,20.6499271393,40.03997003159634,8.743100042637465,21.3451538086,114.8942211852197,7.1561317324871885,19.6111736298,1.4954488277,1.7339801788,0.6952266693,1.0387535095
1635721458409799680,Gaia DR2 305031601019226368,29.773253057825,33.409109061018654,01h59m05.58s,33d24m32.79s,753.0455185259257,2.2612067432580765,18.4963130951,191.00322251989311,19.76870031295423,19.6487865448,970.0004193550953,16.526088307280602,17.2949905396,1.5417443514,2.3537960052,1.1524734497,1.2013225555
1635721458409799680,Gaia DR2 305018716117288448,29.848722273633488,33.34464923252754,01h59m23.69s,33d20m40.74s,375.0514398548631,1.8366478828988526,19.2531394958,89.726004675359,13.335485999450261,20.4690914154,503.39199690022286,11.132617365425745,18.0071544647,1.5814310312,2.4619369507,1.2159519196,1.2459850311
1635721458409799680,Gaia DR2 305018857851275776,29.76039036428911,33.31001546739449,01h59m02.49s,33d18m36.06s,142.0518003056102,1.8961282189022792,20.3072490692,24.32422202663328,7.095556293813527,21.8862915039,224.6466161759573,8.066769714374697,18.8831710815,1.7526763678,3.0031204224,1.5790424347,1.4240779877
1635721458409799680,Gaia DR2 305018338160145664,29.821939559685017,33.312622409586595,01h59m17.27s,33d18m45.44s,1525.7283911378004,3.6520045168824073,17.7296733856,561.8845079603517,9.211230569854887,18.4772701263,1440.819465348502,8.27063396998921,16.8653964996,1.3126215935,1.6118736267,0.7475967407,0.864276886
1635721458409799680,Gaia DR2 305031570955160960,29.75634799686858,33.406408473852935,01h59m01.52s,33d24m23.07s,26612.432307551982,18.189986296814645,14.6256542206,11783.916416392174,42.933161576786205,15.1731643677,21386.4604261764,67.5237844219672,13.9365730286,1.2464240789,1.2365913391,0.5475101471,0.689081192
1635721458409799680,Gaia DR2 305021086939277696,29.83329066683212,33.399593045086874,01h59m19.99s,33d23m58.53s,139.62142209353973,1.5722983913619422,20.3259849548,58.12245217274521,15.16141614663901,20.9405288696,111.80013702384002,12.860047356205037,19.6408138275,1.2170237303,1.2997150421,0.6145439148,0.6851711273
1635721458409799680,Gaia DR2 305018716117293056,29.85513814600806,33.352165734070574,01h59m25.23s,33d21m07.80s,209.88359142395103,1.9029836681203234,19.8834190369,90.31056761574929,7.227851759467024,20.4620418549,182.31153378256698,13.078827356993555,19.1098842621,1.2989205122,1.3521575928,0.578622818,0.7735347748
1635721458409799680,Gaia DR2 305019094074397824,29.732674141398967,33.323536599119734,01h58m55.84s,33d19m24.73s,1050.3131951209175,3.0947256174490274,18.1350688934,503.99544955149514,17.378399760514753,18.5953216553,803.3924349289675,7.5401193304709295,17.4996013641,1.2447600365,1.0957202911,0.4602527618,0.6354675293
1635721458409799680,Gaia DR2 305031566659483520,29.74568628502627,33.403994434136756,01h58m58.96s,33d24m14.38s,1283.0252595446898,3.064826564925258,17.9177780151,678.2234546666264,11.982622552793496,18.2729568481,893.5505121257411,3.7318335296371807,17.3841228485,1.225053072,0.8888339996,0.355178833,0.5336551666
1635721458409799680,Gaia DR2 305018166361445888,29.80365325999825,33.30140481668856,01h59m12.88s,33d18m05.06s,249.54265897836743,1.8582668062358658,19.6955032349,70.51493411729356,25.433320895406087,20.7306861877,314.9715598663145,7.265099501365448,18.5162410736,1.5447719097,2.2144451141,1.0351829529,1.1792621613
1635721458409799680,Gaia DR2 305031119984681600,29.721599282261657,33.37814892177558,01h58m53.18s,33d22m41.34s,133.51708741593538,1.6162812913964453,20.3745231628,63.852128209593694,21.34524906703102,20.8384494781,195.7315692220694,20.870332271436737,19.0327682495,1.94419837,1.8056812286,0.4639263153,1.3417549133
1635721458409799680,Gaia DR2 305021121299016448,29.83851670194048,33.400128279165344,01h59m21.24s,33d24m00.46s,294.57373426276246,1.7363217819459242,19.5153808594,181.72079264997643,18.520570877410716,19.7028770447,231.3325363442754,14.557174902550418,18.8513278961,1.4022068977,0.8515491486,0.1874961853,0.6640529633
1635721458409799680,Gaia DR2 305021361817198208,29.807435185593587,33.415765708895215,01h59m13.78s,33d24m56.76s,180.3811454927277,1.6695927243985518,20.0478878021,90.74549145498635,8.867720735974697,20.4568252563,135.83955522317947,14.776691300437609,19.429353714,1.2561459541,1.0274715424,0.4089374542,0.6185340881
1635721458409799680,Gaia DR2 305031674034374400,29.760362452252327,33.414252970514504,01h59m02.49s,33d24m51.31s,221.41189982803752,1.7589279310587098,19.8253631592,120.69334202593038,31.625853867801627,20.1471805573,375.5962134266665,10.575615153772908,18.3251171112,2.2414765358,1.822063446,0.3218173981,1.500246048
